Dato;Måltid;Kalorier;Fett (g);Mettet fett;Flerumettet fett;Enumettet fett;Transfett;Kolesterol;Natrium (mg);Kalium;Karbohydrater (g);Fiber;Sukker;Protein (g);A-vitamin;C-vitamin;Kalsium;Jern;export_headers.note
2020-10-14;Lunsj;1213.6;67.4;20.6;5.0;16.5;0.0;42.3;1083.3;178.6;89.1;5.3;19.5;62.3;21.9;0.0;70.7;2.8;
2020-10-14;Snacks;1042.4;33.2;10.6;0.0;0.0;0.0;0.0;377.6;889.2;151.6;11.8;64.8;27.3;330.5;20.9;90.4;3.1;
2020-10-14;Kveldsmat;1912.8;96.1;43.0;24.5;186.4;0.5;32.0;281.0;34.7;173.4;7.5;55.4;96.5;11.3;0.0;45.0;0.0;
2020-10-15;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-15;Lunsj;642.4;28.9;7.3;7.9;10.8;0.0;200.9;755.7;601.5;51.3;9.4;9.6;39.5;287.2;3.3;36.3;20.2;
2020-10-15;Middag;998.5;31.3;13.4;0.0;0.0;0.0;0.0;1.7;103.5;118.6;3.8;4.5;59.4;0.0;0.0;1.5;4.5;
2020-10-15;Snacks;1274.7;70.3;5.6;5.6;56.3;0.0;0.0;49.2;138.1;141.4;7.9;12.5;14.1;280.2;70.5;14.3;3.5;
2020-10-16;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-16;Lunsj;640.3;28.7;7.2;7.9;10.7;0.0;193.4;754.0;598.8;51.4;9.5;9.7;39.2;293.8;3.4;36.3;20.2;
2020-10-16;Middag;998.5;31.3;13.4;0.0;0.0;0.0;0.0;1.7;103.5;118.6;3.8;4.5;59.4;0.0;0.0;1.5;4.5;
2020-10-16;Snacks;1277.2;70.3;5.6;5.6;56.3;0.0;0.0;49.2;132.8;141.9;8.1;12.2;14.1;280.3;69.3;14.6;3.5;
